,Date,Close.Last,Volume,Open,High,Low
1596,11/29/2016,21.7232,463761,21.4402,21.7703,21.3459
1595,11/30/2016,21.3459,277387,21.8804,21.8804,21.283
1594,12/1/2016,21.063,523109,21.3774,21.5345,20.9058
1593,12/2/2016,20.2771,529098,21.0944,21.1259,20.0884
1592,12/5/2016,20.8115,235476,20.4342,20.9687,20.3399
1591,12/6/2016,21.2516,376476,20.6229,21.4402,20.5914
1590,12/7/2016,20.5286,787967,21.283,21.283,20.4971
1589,12/8/2016,20.1827,956098,20.6543,20.8429,20.057
1588,12/9/2016,20.4971,545795,20.2142,20.5286,20.0884
1587,12/12/2016,20.3399,536366,20.3714,20.56,20.1199
1586,12/13/2016,20.1199,408500,20.2771,20.4342,20.057
1585,12/14/2016,19.9627,391043,20.0256,20.2142,19.8055
1584,12/15/2016,20.1199,432080,19.9627,20.3085,19.8684
1583,12/16/2016,20.057,510237,20.0884,20.3399,19.9312
1582,12/19/2016,20.8744,477634,20.2456,20.9372,20.057
1581,12/20/2016,21.0315,713791,20.9372,21.1887,20.78
1580,12/21/2016,21.8175,817135,21.1887,22.0061,20.9687
1579,12/22/2016,22.069,881578,21.7546,22.0847,21.7232
1578,12/23/2016,22.1947,528412,22.0061,22.1947,21.7546
1577,12/27/2016,22.289,348329,22.289,22.3205,22.1319
1576,12/28/2016,21.7232,511505,22.289,22.3205,21.6917
1575,12/29/2016,21.5031,562228,21.7546,21.8175,21.1573
1574,12/30/2016,21.1573,378096,21.5031,21.566,21.1259
1573,1/3/2017,21.8489,766082,21.4088,21.8489,21.3145
1572,1/4/2017,21.5031,547921,21.3774,21.8804,21.3774
1571,1/5/2017,21.3774,443212,21.5345,21.6603,21.063
1570,1/6/2017,21.2516,337223,21.4088,21.5974,21.1887
1569,1/9/2017,20.9372,415100,21.1573,21.4088,20.9058
1568,1/10/2017,21.4717,705111,21.0001,21.6917,20.9372
1567,1/11/2017,21.566,209706,21.5031,21.6917,21.3774
1566,1/12/2017,21.3774,192044,21.5031,21.6289,21.0944
1565,1/13/2017,21.5345,180239,21.5031,21.6289,21.3145
1564,1/17/2017,21.3145,181374,21.4717,21.566,21.283
1563,1/18/2017,21.2516,252336,21.283,21.3145,20.9372
1562,1/19/2017,21.3145,213697,21.2516,21.3145,21.0944
1561,1/20/2017,21.566,320658,21.3459,21.6289,21.3145
1560,1/23/2017,21.4402,502230,21.5974,21.9432,21.1887
1559,1/24/2017,21.566,330661,21.5974,21.7546,21.4717
1558,1/25/2017,21.4717,303353,21.7546,21.7546,21.4088
1557,1/26/2017,21.5345,338642,21.5345,21.7546,21.4717
1556,1/27/2017,21.3774,300161,21.5345,21.566,21.3145
1555,1/30/2017,21.4717,391827,21.786,21.786,21.241
1554,1/31/2017,21.2202,452846,21.3774,21.456,21.2202
1553,2/1/2017,20.7486,886201,21.063,21.283,20.56
1552,2/2/2017,20.78,437613,20.8115,21.0001,20.6386
1551,2/3/2017,20.6857,238526,20.8115,20.9372,20.6543
1550,2/6/2017,20.5286,246273,20.56,20.7172,20.4971
1549,2/7/2017,20.4342,280507,20.6229,20.6857,20.3399
1548,2/8/2017,19.5226,12420480,19.5226,19.947,19.3654
1547,2/9/2017,19.4911,2684698,19.4911,19.6483,19.4597
1546,2/10/2017,19.7112,3132216,19.5854,19.8055,19.4911
1545,2/13/2017,19.7112,1419907,19.7426,19.8055,19.554
1544,2/14/2017,19.7426,1196073,19.7741,19.8055,19.6169
1543,2/15/2017,19.8055,951209,19.6797,19.8369,19.5854
1542,2/16/2017,19.6483,691164,19.7112,19.7741,19.554
1541,2/17/2017,19.6169,1660304,19.6483,19.6955,19.4911
1540,2/21/2017,19.3968,1199854,19.6483,19.6483,19.1453
1539,2/22/2017,19.7112,1540500,19.3654,19.7426,19.2711
1538,2/23/2017,19.7112,1276803,19.6483,19.7741,19.5226
1537,2/24/2017,19.7426,1136458,19.554,19.7741,19.4597
1536,2/27/2017,19.7741,1773132,19.6483,19.8055,19.5068
1535,2/28/2017,19.7112,3963483,19.5854,19.8055,19.4597
1534,3/1/2017,19.1139,3872387,19.8055,19.8369,18.4223
1533,3/2/2017,18.7052,1812035,19.0196,19.2396,18.7052
1532,3/3/2017,18.4851,2638713,18.6738,18.7366,18.2965
1531,3/6/2017,18.4223,1125396,18.4851,18.6423,18.3594
1530,3/7/2017,18.5166,1231155,18.4223,18.6423,18.3908
1529,3/8/2017,18.5794,1058104,18.548,18.7995,18.4537
1528,3/9/2017,18.5794,1117981,18.5166,18.7995,18.4851
1527,3/10/2017,18.9567,1483235,18.6738,18.9881,18.6423
1526,3/13/2017,19.1139,1909098,18.8624,19.2711,18.8309
1525,3/14/2017,19.2082,1575714,19.0824,19.3811,19.0196
1524,3/15/2017,18.9252,1187678,18.8624,19.0982,18.579
1523,3/16/2017,18.9881,1015047,18.9252,19.1139,18.8624
1522,3/17/2017,19.2396,1759563,19.051,19.3025,19.051
1521,3/20/2017,19.2396,946816,19.2082,19.5854,19.2082
1520,3/21/2017,18.9567,828111,19.3339,19.4911,18.9567
1519,3/22/2017,19.051,843051,18.8938,19.1767,18.8309
1518,3/23/2017,18.9881,853920,19.1139,19.3025,18.9881
1517,3/24/2017,19.3968,1721932,19.1139,19.4754,19.051
1516,3/27/2017,19.3654,1437822,19.0824,19.4597,19.0196
1515,3/28/2017,19.2082,1312471,19.3025,19.3339,19.0196
1514,3/29/2017,19.4597,1383490,19.2082,19.4911,19.1139
1513,3/30/2017,19.5854,1648910,19.4282,19.6483,19.3025
1512,3/31/2017,19.7741,1754136,19.6169,19.8684,19.4911
1511,4/3/2017,20.0256,2423753,20.0256,20.1827,19.8055
1510,4/4/2017,19.8369,1866994,20.057,20.1513,19.8369
1509,4/5/2017,19.4911,1225879,19.9627,19.9941,19.4125
1508,4/6/2017,19.3654,932052,19.4597,19.4911,19.0824
1507,4/7/2017,19.0824,1099043,19.3025,19.4282,19.0196
1506,4/10/2017,19.2711,782463,19.2082,19.3025,18.9252
1505,4/11/2017,19.3025,712543,19.2396,19.3968,19.0824
1504,4/12/2017,19.051,1122091,19.2082,19.382,18.9252
1503,4/13/2017,18.9881,1097425,19.0824,19.2396,18.8309
1502,4/17/2017,19.3025,582622,19.1453,19.3025,19.051
1501,4/18/2017,19.1767,630365,19.2396,19.3025,18.9881
1500,4/19/2017,19.1139,723811,19.2082,19.3025,19.0038
1499,4/20/2017,19.4597,1963344,19.2396,19.7741,19.1767
1498,4/21/2017,19.4282,986350,19.4911,19.6169,19.2396
1497,4/24/2017,19.3025,1426006,19.6169,19.6169,19.1453
1496,4/25/2017,19.4911,836945,19.3968,19.6797,19.3968
1495,4/26/2017,19.6169,1091770,19.4911,19.7426,19.3968
1494,4/27/2017,19.3025,773891,19.6169,19.6483,19.2082
1493,4/28/2017,19.051,1368143,19.3025,19.3025,18.8624
1492,5/1/2017,18.7366,1273325,19.1453,19.2082,18.6738
1491,5/2/2017,18.8938,1054953,18.7052,18.8938,18.5952
1490,5/3/2017,18.9252,831965,18.7681,18.9655,18.7052
1489,5/4/2017,18.4851,1239935,18.9567,18.9567,18.4223
1488,5/5/2017,18.2965,1308027,18.5166,18.6266,18.2336
1487,5/8/2017,18.1079,1889925,18.4223,18.465,17.9193
1486,5/9/2017,18.1708,3060220,18.4223,18.9252,18.0764
1485,5/10/2017,17.5734,2811340,18.1079,18.1708,17.2276
1484,5/11/2017,17.2905,1439464,17.5734,17.6363,17.2276
1483,5/12/2017,16.9133,2005219,17.2905,17.2905,16.7875
1482,5/15/2017,16.6303,2560704,16.9761,16.9761,16.2845
1481,5/16/2017,16.1902,2325457,16.7246,16.8818,16.033
1480,5/17/2017,15.4671,1970911,16.033,16.0959,15.4357
1479,5/18/2017,15.4043,1664512,15.4357,15.5615,15.2785
1478,5/19/2017,15.9073,2109843,15.3728,16.0645,15.3728
1477,5/22/2017,15.7186,1872219,15.9073,16.0959,15.6558
1476,5/23/2017,15.4986,1325166,15.7501,15.9073,15.4671
1475,5/24/2017,14.7755,3279352,15.53,15.53,14.7441
1474,5/25/2017,14.7127,2740012,14.807,14.9956,14.5397
1473,5/26/2017,15.53,3361333,14.7441,15.8444,14.6812
1472,5/30/2017,14.6812,2393049,15.4043,15.4671,14.6498
1471,5/31/2017,14.1468,3608975,14.6812,14.807,14.0525
1470,6/1/2017,14.7441,2711005,14.0839,14.9642,14.0525
1469,6/2/2017,15.5929,3992929,14.9327,15.6243,14.9013
1468,6/5/2017,15.7186,3884361,15.4986,16.0802,15.3728
1467,6/6/2017,15.3414,3404152,15.5929,15.7501,15.0899
1466,6/7/2017,14.9327,2670199,15.3728,15.5929,14.9327
1465,6/8/2017,14.8698,1598902,14.9013,14.9956,14.5869
1464,6/9/2017,14.6498,1946580,14.8384,14.9642,14.6183
1463,6/12/2017,14.7755,1674078,14.7127,14.9327,14.5869
1462,6/13/2017,15.2471,1608716,14.8384,15.3414,14.8384
1461,6/14/2017,15.2156,1109540,15.4357,15.4671,15.1528
1460,6/15/2017,15.1213,841233,15.0899,15.2557,14.9484
1459,6/16/2017,15.4986,1816067,15.0585,15.53,14.9327
1458,6/19/2017,15.5615,1700236,15.53,15.7501,15.48
1457,6/20/2017,14.8384,2578954,15.4357,15.4671,14.6183
1456,6/21/2017,14.4926,1970409,14.807,14.8384,14.2097
